"id","label","definition"
"exclusionReason","費用比較対象外理由","法非適用または水量不足など。未確認をなしとしない"
"maintenance_annual","維持管理費分：年額（千円/年）","opexComponent。業務費・総係費の合計と個別列は重複加算しない"
"maintenance_unit","維持管理費分：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"maintenance_share","維持管理費分：構成比（%）","年額÷wastewaterTreatmentCost×100。目的別と性質別は別分類で合算不可"
"maintenance_median","維持管理費分：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"maintenance_difference","維持管理費分：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"maintenance_count","維持管理費分：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"maintenance_state","維持管理費分：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"capital_annual","資本費分：年額（千円/年）","capitalCostComponent。業務費・総係費の合計と個別列は重複加算しない"
"capital_unit","資本費分：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"capital_share","資本費分：構成比（%）","年額÷wastewaterTreatmentCost×100。目的別と性質別は別分類で合算不可"
"capital_median","資本費分：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"capital_difference","資本費分：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"capital_count","資本費分：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"capital_state","資本費分：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"purpose_pipeline_annual","管渠費：年額（千円/年）","pipeline_expense。業務費・総係費の合計と個別列は重複加算しない"
"purpose_pipeline_unit","管渠費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"purpose_pipeline_share","管渠費：構成比（%）","年額÷operating_expense×100。目的別と性質別は別分類で合算不可"
"purpose_pipeline_median","管渠費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"purpose_pipeline_difference","管渠費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"purpose_pipeline_count","管渠費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"purpose_pipeline_state","管渠費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"purpose_pump-station_annual","ポンプ場費：年額（千円/年）","pump_station_expense。業務費・総係費の合計と個別列は重複加算しない"
"purpose_pump-station_unit","ポンプ場費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"purpose_pump-station_share","ポンプ場費：構成比（%）","年額÷operating_expense×100。目的別と性質別は別分類で合算不可"
"purpose_pump-station_median","ポンプ場費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"purpose_pump-station_difference","ポンプ場費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"purpose_pump-station_count","ポンプ場費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"purpose_pump-station_state","ポンプ場費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"purpose_treatment-plant_annual","処理場費：年額（千円/年）","treatment_plant_expense。業務費・総係費の合計と個別列は重複加算しない"
"purpose_treatment-plant_unit","処理場費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"purpose_treatment-plant_share","処理場費：構成比（%）","年額÷operating_expense×100。目的別と性質別は別分類で合算不可"
"purpose_treatment-plant_median","処理場費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"purpose_treatment-plant_difference","処理場費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"purpose_treatment-plant_count","処理場費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"purpose_treatment-plant_state","処理場費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"purpose_general-management_annual","業務費・総係費（一般管理）：年額（千円/年）","business_expense＋general_administration_expense。業務費・総係費の合計と個別列は重複加算しない"
"purpose_general-management_unit","業務費・総係費（一般管理）：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"purpose_general-management_share","業務費・総係費（一般管理）：構成比（%）","年額÷operating_expense×100。目的別と性質別は別分類で合算不可"
"purpose_general-management_median","業務費・総係費（一般管理）：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"purpose_general-management_difference","業務費・総係費（一般管理）：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"purpose_general-management_count","業務費・総係費（一般管理）：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"purpose_general-management_state","業務費・総係費（一般管理）：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"purpose_business_annual","業務費：年額（千円/年）","business_expense。業務費・総係費の合計と個別列は重複加算しない"
"purpose_business_unit","業務費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"purpose_business_share","業務費：構成比（%）","年額÷operating_expense×100。目的別と性質別は別分類で合算不可"
"purpose_business_median","業務費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"purpose_business_difference","業務費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"purpose_business_count","業務費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"purpose_business_state","業務費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"purpose_general_annual","総係費：年額（千円/年）","general_administration_expense。業務費・総係費の合計と個別列は重複加算しない"
"purpose_general_unit","総係費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"purpose_general_share","総係費：構成比（%）","年額÷operating_expense×100。目的別と性質別は別分類で合算不可"
"purpose_general_median","総係費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"purpose_general_difference","総係費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"purpose_general_count","総係費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"purpose_general_state","総係費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_personnel_annual","職員給与費：年額（千円/年）","personnel_cost_total。業務費・総係費の合計と個別列は重複加算しない"
"nature_personnel_unit","職員給与費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_personnel_share","職員給与費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_personnel_median","職員給与費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_personnel_difference","職員給与費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_personnel_count","職員給与費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_personnel_state","職員給与費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_interest_annual","支払利息：年額（千円/年）","interest_cost_total。業務費・総係費の合計と個別列は重複加算しない"
"nature_interest_unit","支払利息：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_interest_share","支払利息：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_interest_median","支払利息：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_interest_difference","支払利息：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_interest_count","支払利息：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_interest_state","支払利息：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_depreciation_annual","減価償却費：年額（千円/年）","depreciation_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_depreciation_unit","減価償却費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_depreciation_share","減価償却費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_depreciation_median","減価償却費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_depreciation_difference","減価償却費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_depreciation_count","減価償却費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_depreciation_state","減価償却費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_power_annual","動力費：年額（千円/年）","power_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_power_unit","動力費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_power_share","動力費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_power_median","動力費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_power_difference","動力費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_power_count","動力費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_power_state","動力費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_utilities_annual","光熱水費：年額（千円/年）","water_and_utilities_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_utilities_unit","光熱水費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_utilities_share","光熱水費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_utilities_median","光熱水費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_utilities_difference","光熱水費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_utilities_count","光熱水費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_utilities_state","光熱水費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_communications_annual","通信運搬費：年額（千円/年）","communications_transport_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_communications_unit","通信運搬費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_communications_share","通信運搬費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_communications_median","通信運搬費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_communications_difference","通信運搬費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_communications_count","通信運搬費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_communications_state","通信運搬費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_repair_annual","修繕費：年額（千円/年）","repair_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_repair_unit","修繕費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_repair_share","修繕費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_repair_median","修繕費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_repair_difference","修繕費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_repair_count","修繕費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_repair_state","修繕費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_materials_annual","材料費：年額（千円/年）","materials_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_materials_unit","材料費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_materials_share","材料費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_materials_median","材料費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_materials_difference","材料費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_materials_count","材料費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_materials_state","材料費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_chemicals_annual","薬品費：年額（千円/年）","chemical_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_chemicals_unit","薬品費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_chemicals_share","薬品費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_chemicals_median","薬品費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_chemicals_difference","薬品費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_chemicals_count","薬品費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_chemicals_state","薬品費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_road-restoration_annual","路面復旧費：年額（千円/年）","road_restoration_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_road-restoration_unit","路面復旧費：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_road-restoration_share","路面復旧費：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_road-restoration_median","路面復旧費：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_road-restoration_difference","路面復旧費：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_road-restoration_count","路面復旧費：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_road-restoration_state","路面復旧費：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_outsourcing_annual","委託料：年額（千円/年）","outsourcing_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_outsourcing_unit","委託料：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_outsourcing_share","委託料：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_outsourcing_median","委託料：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_outsourcing_difference","委託料：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_outsourcing_count","委託料：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_outsourcing_state","委託料：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_regional-sewerage-contribution_annual","流域下水道管理運営費負担金：年額（千円/年）","regional_sewerage_contribution。業務費・総係費の合計と個別列は重複加算しない"
"nature_regional-sewerage-contribution_unit","流域下水道管理運営費負担金：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_regional-sewerage-contribution_share","流域下水道管理運営費負担金：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_regional-sewerage-contribution_median","流域下水道管理運営費負担金：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_regional-sewerage-contribution_difference","流域下水道管理運営費負担金：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_regional-sewerage-contribution_count","流域下水道管理運営費負担金：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_regional-sewerage-contribution_state","流域下水道管理運営費負担金：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"nature_other_annual","その他：年額（千円/年）","other_cost。業務費・総係費の合計と個別列は重複加算しない"
"nature_other_unit","その他：単位費用（円/m³）","年額（千円）×1000÷年間有収水量。丸め前の値"
"nature_other_share","その他：構成比（%）","年額÷total_cost×100。目的別と性質別は別分類で合算不可"
"nature_other_median","その他：県内中央値（円/m³）","同県・2020年度・公共下水道・法適用・水量正・当該費目有効の事業会計を各1票。自事業も含む"
"nature_other_difference","その他：県内中央値との差（円/m³）","当該事業の単位費用－県内中央値。比較対象外は空欄"
"nature_other_count","その他：県内比較件数","中央値の有効な事業会計数。欠損を0に置き換えて含めない"
"nature_other_state","その他：状態","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可"
"validationStatus","検証状態","年度・識別・結合・有限値の自動検証。原資料の全件手動照合を意味しない"
"qualityNotes","確認事項","空欄・合計差・データ不足を記録。確認済みという包括的な保証ではない"
