"項目ID","CSV列名","種類","入力項目ID","算定式・転記方法","算定条件・欠損・丸め","原資料位置（直接入力）","追跡方法"
"connectedPopulation","水洗化人口（人）","原値","connectedPopulation","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","connectedPopulation: 法適用 第10表 行番号1 列012 / connectedPopulation: 法非適用 第10表 行番号1 列012","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"treatedVolume","年間汚水処理水量（m³/年）","原値","treatedVolume","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","treatedVolume: 法適用 第10表 行番号1 列050 / treatedVolume: 法非適用 第10表 行番号1 列050","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"annualBillableVolume","年間有収水量（m³/年）","原値","annualBillableVolume","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"householdFee20m3Yen","一般家庭用20m³月額（円/月・税込）","原値","householdFee20m3Yen","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","householdFee20m3Yen: 法適用 第33表 行番号1 列013 / householdFee20m3Yen: 法非適用 第33表 行番号1 列013","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"sewerFeeRevenue","使用料収入（千円/年）","原値","sewerFeeRevenue","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","sewerFeeRevenue: 法適用 第20表 行番号1 列003 / sewerFeeRevenue: 法非適用 第26表 行番号1 列003","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"wastewaterTreatmentCost","汚水処理費（千円/年）","原値","wastewaterTreatmentCost","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","wastewaterTreatmentCost: 法適用 第32表 行番号2 列016 / wastewaterTreatmentCost: 法非適用 第32表 行番号2 列016","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"opexComponent","維持管理費分（千円/年）","原値","opexComponent","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","opexComponent: 法適用 第32表 行番号1 列044 / opexComponent: 法非適用 第32表 行番号1 列044","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capitalCostComponent","資本費分（千円/年）","原値","capitalCostComponent","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","capitalCostComponent: 法適用 第32表 行番号2 列008 / capitalCostComponent: 法非適用 第32表 行番号2 列008","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"expenseRecoveryRate","経費回収率（%）","算定","sewerFeeRevenue | wastewaterTreatmentCost","sewerFeeRevenue × 100 ÷ wastewaterTreatmentCost","分子が0以上・分母が正の有限値の場合のみ。欠損・負の分子・0以下の分母は空欄。小数第4位まで丸める。原表の税区分を保持（法適用は税抜、法非適用は税込）。税区分を統一した単価比較ではない","sewerFeeRevenue: 法適用 第20表 行番号1 列003 / sewerFeeRevenue: 法非適用 第26表 行番号1 列003 / wastewaterTreatmentCost: 法適用 第32表 行番号2 列016 / wastewaterTreatmentCost: 法非適用 第32表 行番号2 列016","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"feeUnitPrice","使用料単価（円/m³）","算定","sewerFeeRevenue | annualBillableVolume","sewerFeeRevenue × 1000 ÷ annualBillableVolume","分子が0以上・分母が正の有限値の場合のみ。欠損・負の分子・0以下の分母は空欄。小数第4位まで丸める。原表の税区分を保持（法適用は税抜、法非適用は税込）。税区分を統一した単価比較ではない","sewerFeeRevenue: 法適用 第20表 行番号1 列003 / sewerFeeRevenue: 法非適用 第26表 行番号1 列003 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"treatmentCost","汚水処理原価（円/m³）","算定","wastewaterTreatmentCost | annualBillableVolume","wastewaterTreatmentCost × 1000 ÷ annualBillableVolume","分子が0以上・分母が正の有限値の場合のみ。欠損・負の分子・0以下の分母は空欄。小数第4位まで丸める。原表の税区分を保持（法適用は税抜、法非適用は税込）。税区分を統一した単価比較ではない","wastewaterTreatmentCost: 法適用 第32表 行番号2 列016 / wastewaterTreatmentCost: 法非適用 第32表 行番号2 列016 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"operating_expense","営業費用（千円/年）","原値","operating_expense","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","operating_expense: 法適用 第20表 行番号1 列026","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"total_cost","性質別費用合計（千円/年）","原値","total_cost","input-values.csv の同じ行識別子・項目IDを転記","原資料の欠損記号・空欄は算定用CSVでは空欄。実際の0は0。法非適用の第20/21表内訳は対象外","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"comparisonEligible","費用比較対象","識別・状態","","法適用・正の年間有収水量・都道府県識別可。費目の欠損はさらに個別除外","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"exclusionReason","費用比較対象外理由","識別・状態","","法非適用または水量不足など。未確認をなしとしない","原資料の年度・団体・事業・会計を保持。異年度補完なし","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"maintenance_annual","維持管理費分：年額（千円/年）","算定","opexComponent","opexComponent","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持","opexComponent: 法適用 第32表 行番号1 列044 / opexComponent: 法非適用 第32表 行番号1 列044","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"maintenance_unit","維持管理費分：単位費用（円/m³）","算定","maintenance_annual | annualBillableVolume","maintenance_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"maintenance_share","維持管理費分：構成比（%）","算定","maintenance_annual | wastewaterTreatmentCost","maintenance_annual ÷ wastewaterTreatmentCost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可","wastewaterTreatmentCost: 法適用 第32表 行番号2 列016 / wastewaterTreatmentCost: 法非適用 第32表 行番号2 列016","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"maintenance_median","維持管理費分：県内中央値（円/m³）","算定","maintenance_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の maintenance_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"maintenance_difference","維持管理費分：県内中央値との差（円/m³）","算定","maintenance_unit | maintenance_median","maintenance_unit − maintenance_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"maintenance_count","維持管理費分：県内比較件数","算定","maintenance_unit | prefectureCode | comparisonEligible","COUNT(比較対象の maintenance_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"maintenance_state","維持管理費分：状態","状態","opexComponent | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可","opexComponent: 法適用 第32表 行番号1 列044 / opexComponent: 法非適用 第32表 行番号1 列044 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capital_annual","資本費分：年額（千円/年）","算定","capitalCostComponent","capitalCostComponent","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持","capitalCostComponent: 法適用 第32表 行番号2 列008 / capitalCostComponent: 法非適用 第32表 行番号2 列008","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capital_unit","資本費分：単位費用（円/m³）","算定","capital_annual | annualBillableVolume","capital_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capital_share","資本費分：構成比（%）","算定","capital_annual | wastewaterTreatmentCost","capital_annual ÷ wastewaterTreatmentCost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可","wastewaterTreatmentCost: 法適用 第32表 行番号2 列016 / wastewaterTreatmentCost: 法非適用 第32表 行番号2 列016","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capital_median","資本費分：県内中央値（円/m³）","算定","capital_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の capital_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capital_difference","資本費分：県内中央値との差（円/m³）","算定","capital_unit | capital_median","capital_unit − capital_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capital_count","資本費分：県内比較件数","算定","capital_unit | prefectureCode | comparisonEligible","COUNT(比較対象の capital_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"capital_state","資本費分：状態","状態","capitalCostComponent | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可","capitalCostComponent: 法適用 第32表 行番号2 列008 / capitalCostComponent: 法非適用 第32表 行番号2 列008 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pipeline_annual","管渠費：年額（千円/年）","算定","pipeline_expense","pipeline_expense","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","pipeline_expense: 法適用 第20表 行番号1 列027","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pipeline_unit","管渠費：単位費用（円/m³）","算定","purpose_pipeline_annual | annualBillableVolume","purpose_pipeline_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pipeline_share","管渠費：構成比（%）","算定","purpose_pipeline_annual | operating_expense","purpose_pipeline_annual ÷ operating_expense × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","operating_expense: 法適用 第20表 行番号1 列026","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pipeline_median","管渠費：県内中央値（円/m³）","算定","purpose_pipeline_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の purpose_pipeline_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pipeline_difference","管渠費：県内中央値との差（円/m³）","算定","purpose_pipeline_unit | purpose_pipeline_median","purpose_pipeline_unit − purpose_pipeline_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pipeline_count","管渠費：県内比較件数","算定","purpose_pipeline_unit | prefectureCode | comparisonEligible","COUNT(比較対象の purpose_pipeline_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pipeline_state","管渠費：状態","状態","pipeline_expense | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","pipeline_expense: 法適用 第20表 行番号1 列027 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pump-station_annual","ポンプ場費：年額（千円/年）","算定","pump_station_expense","pump_station_expense","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","pump_station_expense: 法適用 第20表 行番号1 列028","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pump-station_unit","ポンプ場費：単位費用（円/m³）","算定","purpose_pump-station_annual | annualBillableVolume","purpose_pump-station_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pump-station_share","ポンプ場費：構成比（%）","算定","purpose_pump-station_annual | operating_expense","purpose_pump-station_annual ÷ operating_expense × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","operating_expense: 法適用 第20表 行番号1 列026","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pump-station_median","ポンプ場費：県内中央値（円/m³）","算定","purpose_pump-station_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の purpose_pump-station_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pump-station_difference","ポンプ場費：県内中央値との差（円/m³）","算定","purpose_pump-station_unit | purpose_pump-station_median","purpose_pump-station_unit − purpose_pump-station_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pump-station_count","ポンプ場費：県内比較件数","算定","purpose_pump-station_unit | prefectureCode | comparisonEligible","COUNT(比較対象の purpose_pump-station_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_pump-station_state","ポンプ場費：状態","状態","pump_station_expense | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","pump_station_expense: 法適用 第20表 行番号1 列028 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_treatment-plant_annual","処理場費：年額（千円/年）","算定","treatment_plant_expense","treatment_plant_expense","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","treatment_plant_expense: 法適用 第20表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_treatment-plant_unit","処理場費：単位費用（円/m³）","算定","purpose_treatment-plant_annual | annualBillableVolume","purpose_treatment-plant_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_treatment-plant_share","処理場費：構成比（%）","算定","purpose_treatment-plant_annual | operating_expense","purpose_treatment-plant_annual ÷ operating_expense × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","operating_expense: 法適用 第20表 行番号1 列026","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_treatment-plant_median","処理場費：県内中央値（円/m³）","算定","purpose_treatment-plant_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の purpose_treatment-plant_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_treatment-plant_difference","処理場費：県内中央値との差（円/m³）","算定","purpose_treatment-plant_unit | purpose_treatment-plant_median","purpose_treatment-plant_unit − purpose_treatment-plant_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_treatment-plant_count","処理場費：県内比較件数","算定","purpose_treatment-plant_unit | prefectureCode | comparisonEligible","COUNT(比較対象の purpose_treatment-plant_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_treatment-plant_state","処理場費：状態","状態","treatment_plant_expense | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","treatment_plant_expense: 法適用 第20表 行番号1 列029 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general-management_annual","業務費・総係費（一般管理）：年額（千円/年）","算定","business_expense | general_administration_expense","business_expense ＋ general_administration_expense","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","business_expense: 法適用 第20表 行番号1 列034 / general_administration_expense: 法適用 第20表 行番号1 列035","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general-management_unit","業務費・総係費（一般管理）：単位費用（円/m³）","算定","purpose_general-management_annual | annualBillableVolume","purpose_general-management_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general-management_share","業務費・総係費（一般管理）：構成比（%）","算定","purpose_general-management_annual | operating_expense","purpose_general-management_annual ÷ operating_expense × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","operating_expense: 法適用 第20表 行番号1 列026","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general-management_median","業務費・総係費（一般管理）：県内中央値（円/m³）","算定","purpose_general-management_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の purpose_general-management_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general-management_difference","業務費・総係費（一般管理）：県内中央値との差（円/m³）","算定","purpose_general-management_unit | purpose_general-management_median","purpose_general-management_unit − purpose_general-management_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
